date,capital,daily_pnl,peak,drawdown
2026-07-29 01:00:53.316168,49928.686164745086,-71.31383525490841,49928.686164745086,0.0
2026-07-30 01:00:53.316168,49928.686164745086,0.0,49928.686164745086,0.0
2026-07-31 01:00:53.316168,49928.686164745086,0.0,49928.686164745086,0.0
2026-08-03 01:00:53.316168,49928.686164745086,0.0,49928.686164745086,0.0
2026-08-04 01:00:53.316168,49928.686164745086,0.0,49928.686164745086,0.0
2026-08-05 01:00:53.316168,49928.686164745086,0.0,49928.686164745086,0.0
2026-08-06 01:00:53.316168,49928.686164745086,0.0,49928.686164745086,0.0
2026-08-07 01:00:53.316168,49928.686164745086,0.0,49928.686164745086,0.0
2026-08-10 01:00:53.316168,49928.686164745086,0.0,49928.686164745086,0.0
2026-08-11 01:00:53.316168,49928.686164745086,0.0,49928.686164745086,0.0
2026-08-12 01:00:53.316168,49928.686164745086,0.0,49928.686164745086,0.0
2026-08-13 01:00:53.316168,49928.686164745086,0.0,49928.686164745086,0.0
2026-08-14 01:00:53.316168,49928.686164745086,0.0,49928.686164745086,0.0
2026-08-17 01:00:53.316168,49928.686164745086,0.0,49928.686164745086,0.0
2026-08-18 01:00:53.316168,49928.686164745086,0.0,49928.686164745086,0.0
2026-08-19 01:00:53.316168,49928.686164745086,0.0,49928.686164745086,0.0
2026-08-20 01:00:53.316168,49928.686164745086,0.0,49928.686164745086,0.0
2026-08-21 01:00:53.316168,49928.686164745086,0.0,49928.686164745086,0.0
2026-08-24 01:00:53.316168,49928.686164745086,0.0,49928.686164745086,0.0
2026-08-25 01:00:53.316168,49928.686164745086,0.0,49928.686164745086,0.0
2026-08-26 01:00:53.316168,49928.686164745086,0.0,49928.686164745086,0.0
2026-08-27 01:00:53.316168,49928.686164745086,0.0,49928.686164745086,0.0
